Date,Hour,DateTime,Count
3/5/16,22:00:00,3/5/16 22:00,72196
3/5/16,23:00:00,3/5/16 23:00,48209
4/5/16,0:00:00,4/5/16 0:00,50555
4/5/16,1:00:00,4/5/16 1:00,52120
4/5/16,2:00:00,4/5/16 2:00,73694
4/5/16,3:00:00,4/5/16 3:00,74049
4/5/16,4:00:00,4/5/16 4:00,51728
4/5/16,5:00:00,4/5/16 5:00,14533
4/5/16,6:00:00,4/5/16 6:00,1060
4/5/16,21:00:00,4/5/16 21:00,40947
4/5/16,22:00:00,4/5/16 22:00,148197
4/5/16,23:00:00,4/5/16 23:00,27861
5/5/16,0:00:00,5/5/16 0:00,33056
5/5/16,1:00:00,5/5/16 1:00,13751
5/5/16,2:00:00,5/5/16 2:00,6914
5/5/16,3:00:00,5/5/16 3:00,8127
5/5/16,4:00:00,5/5/16 4:00,4262
5/5/16,5:00:00,5/5/16 5:00,367
5/5/16,6:00:00,5/5/16 6:00,173
5/5/16,14:00:00,5/5/16 14:00,7513
5/5/16,16:00:00,5/5/16 16:00,20128
5/5/16,22:00:00,5/5/16 22:00,179789
5/5/16,23:00:00,5/5/16 23:00,17196
6/5/16,0:00:00,6/5/16 0:00,51821
6/5/16,1:00:00,6/5/16 1:00,32166
6/5/16,2:00:00,6/5/16 2:00,19950
6/5/16,3:00:00,6/5/16 3:00,3229
6/5/16,22:00:00,6/5/16 22:00,49184
6/5/16,23:00:00,6/5/16 23:00,18509
7/5/16,0:00:00,7/5/16 0:00,24488
7/5/16,1:00:00,7/5/16 1:00,17539
7/5/16,2:00:00,7/5/16 2:00,11324
7/5/16,3:00:00,7/5/16 3:00,7888
7/5/16,4:00:00,7/5/16 4:00,4162
7/5/16,5:00:00,7/5/16 5:00,95
7/5/16,22:00:00,7/5/16 22:00,46045
7/5/16,23:00:00,7/5/16 23:00,18520
8/5/16,0:00:00,8/5/16 0:00,13780
8/5/16,1:00:00,8/5/16 1:00,12680
8/5/16,2:00:00,8/5/16 2:00,7633
8/5/16,3:00:00,8/5/16 3:00,3852
8/5/16,4:00:00,8/5/16 4:00,1278
8/5/16,5:00:00,8/5/16 5:00,69
8/5/16,23:00:00,8/5/16 23:00,23151
